Group Number, Group Color (R, G, B)
0, (255, 255, 106)
1, (39, 46, 18)
2, (53, 60, 66)
3, (67, 117, 135)
4, (76, 121, 149)
5, (79, 141, 174)
6, (75, 81, 110)
7, (83, 86, 112)
8, (89, 157, 185)
9, (92, 140, 178)
10, (96, 33, 123)
11, (100, 186, 192)
12, (102, 82, 84)
13, (116, 96, 114)
14, (108, 73, 123)
15, (110, 90, 91)
16, (109, 150, 175)
17, (109, 93, 0)
18, (118, 103, 122)
19, (132, 109, 121)
20, (118, 136, 152)
21, (116, 57, 138)
22, (121, 113, 144)
23, (129, 114, 133)
24, (129, 133, 143)
25, (132, 123, 145)
26, (134, 153, 169)
27, (134, 107, 144)
28, (143, 121, 131)
29, (136, 146, 107)
30, (145, 107, 151)
31, (149, 131, 162)
32, (152, 111, 121)
33, (146, 131, 128)
34, (146, 112, 139)
35, (150, 117, 139)
36, (146, 213, 220)
37, (150, 120, 133)
38, (180, 107, 141)
39, (153, 103, 137)
40, (154, 151, 157)
41, (151, 109, 148)
42, (154, 121, 159)
43, (157, 128, 157)
44, (163, 149, 159)
45, (157, 169, 125)
46, (155, 127, 143)
47, (160, 160, 68)
48, (160, 154, 169)
49, (160, 139, 148)
50, (162, 149, 176)
51, (158, 126, 117)
52, (166, 97, 130)
53, (163, 104, 132)
54, (168, 140, 155)
55, (166, 150, 22)
56, (169, 121, 153)
57, (167, 141, 126)
58, (168, 89, 127)
59, (185, 255, 248)
60, (178, 168, 165)
61, (172, 173, 153)
62, (172, 156, 184)
63, (180, 126, 154)
64, (180, 150, 120)
65, (184, 122, 146)
66, (176, 123, 129)
67, (206, 192, 184)
68, (184, 96, 135)
69, (180, 131, 127)
70, (205, 148, 157)
71, (184, 167, 136)
72, (183, 179, 166)
73, (186, 117, 138)
74, (196, 133, 146)
75, (194, 136, 155)
76, (190, 66, 124)
77, (199, 151, 126)
78, (199, 129, 151)
79, (204, 165, 134)
80, (192, 140, 132)
81, (192, 202, 161)
82, (210, 130, 138)
83, (200, 143, 147)
84, (204, 199, 185)
85, (196, 198, 171)
86, (198, 126, 144)
87, (208, 131, 131)
88, (205, 95, 133)
89, (203, 149, 141)
90, (209, 152, 128)
91, (215, 122, 133)
92, (216, 161, 142)
93, (211, 102, 134)
94, (215, 249, 245)
95, (220, 205, 195)
96, (215, 146, 135)
97, (223, 180, 149)
98, (216, 170, 155)
99, (221, 130, 135)
100, (221, 157, 147)
101, (225, 166, 144)
102, (227, 231, 182)
103, (226, 112, 129)
104, (232, 225, 187)
105, (231, 92, 106)
106, (237, 143, 142)
107, (241, 130, 138)
108, (242, 104, 106)
109, (255, 173, 135)
110, (253, 78, 58)
111, (254, 113, 102)
112, (255, 133, 132)
113, (255, 177, 143)
